feature_index,block_type,meta,meaning
764,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_12
765,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_13
766,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_14
767,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_15
768,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_16
769,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_17
770,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_18
771,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_19
772,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_20
773,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_21
774,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_22
775,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_23
776,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_24
777,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_25
778,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_26
779,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_27
780,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_28
781,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_29
782,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_30
783,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__OFM_component_31
784,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__atomic_mass_norm
785,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__atomic_number_norm
786,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__atomic_radius_norm
787,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__mean__electron_affinity_norm
788,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__magmom
789,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_0
790,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_1
791,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_2
792,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_3
793,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_4
794,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_5
795,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_6
796,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_7
797,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_8
798,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_9
799,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_10
800,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_11
801,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_12
802,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_13
803,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_14
804,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_15
805,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_16
806,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_17
807,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_18
808,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_19
809,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_20
810,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_21
811,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_22
812,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_23
813,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_24
814,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_25
815,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_26
816,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_27
817,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_28
818,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_29
819,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_30
820,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__OFM_component_31
821,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__atomic_mass_norm
822,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__atomic_number_norm
823,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__atomic_radius_norm
824,species_block,"{'type': 'species_block', 'species': 'Ca'}",Ca__std__electron_affinity_norm
825,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__count
826,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__magmom
827,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_0
828,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_1
829,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_2
830,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_3
831,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_4
832,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_5
833,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_6
834,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_7
835,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_8
836,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_9
837,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_10
838,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_11
839,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_12
840,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_13
841,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_14
842,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_15
843,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_16
844,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_17
845,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_18
846,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_19
847,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_20
848,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_21
849,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_22
850,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_23
851,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_24
852,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_25
853,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_26
854,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_27
855,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_28
856,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_29
857,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_30
858,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__OFM_component_31
859,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__atomic_mass_norm
860,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__atomic_number_norm
861,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__atomic_radius_norm
862,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__mean__electron_affinity_norm
863,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__magmom
864,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_0
865,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_1
866,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_2
867,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_3
868,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_4
869,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_5
870,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_6
871,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_7
872,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_8
873,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_9
874,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_10
875,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_11
876,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_12
877,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_13
878,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_14
879,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_15
880,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_16
881,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_17
882,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_18
883,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_19
884,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_20
885,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_21
886,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_22
887,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_23
888,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_24
889,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_25
890,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_26
891,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_27
892,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_28
893,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_29
894,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_30
895,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__OFM_component_31
896,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__atomic_mass_norm
897,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__atomic_number_norm
898,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__atomic_radius_norm
899,species_block,"{'type': 'species_block', 'species': 'Cd'}",Cd__std__electron_affinity_norm
900,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__count
901,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__magmom
902,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_0
903,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_1
904,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_2
905,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_3
906,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_4
907,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_5
908,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_6
909,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_7
910,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_8
911,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_9
912,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_10
913,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_11
914,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_12
915,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_13
916,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_14
917,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_15
918,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_16
919,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_17
920,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_18
921,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_19
922,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_20
923,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_21
924,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_22
925,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_23
926,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_24
927,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_25
928,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_26
929,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_27
930,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_28
931,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_29
932,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_30
933,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__OFM_component_31
934,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__atomic_mass_norm
935,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__atomic_number_norm
936,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__atomic_radius_norm
937,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__mean__electron_affinity_norm
938,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__magmom
939,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_0
940,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_1
941,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_2
942,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_3
943,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_4
944,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_5
945,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_6
946,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_7
947,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_8
948,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_9
949,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_10
950,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_11
951,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_12
952,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_13
953,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_14
954,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_15
955,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_16
956,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_17
957,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_18
958,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_19
959,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_20
960,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_21
961,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_22
962,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_23
963,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_24
964,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_25
965,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_26
966,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_27
967,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_28
968,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_29
969,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_30
970,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__OFM_component_31
971,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__atomic_mass_norm
972,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__atomic_number_norm
973,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__atomic_radius_norm
974,species_block,"{'type': 'species_block', 'species': 'Ce'}",Ce__std__electron_affinity_norm
975,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__count
976,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__magmom
977,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_0
978,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_1
979,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_2
980,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_3
981,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_4
982,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_5
983,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_6
984,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_7
985,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_8
986,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_9
987,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_10
988,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_11
989,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_12
990,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_13
991,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_14
992,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_15
993,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_16
994,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_17
995,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_18
996,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_19
997,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_20
998,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_21
999,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_22
1000,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_23
1001,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_24
1002,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_25
1003,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_26
1004,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_27
1005,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_28
1006,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_29
1007,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_30
1008,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__OFM_component_31
1009,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__atomic_mass_norm
1010,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__atomic_number_norm
1011,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__atomic_radius_norm
1012,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__mean__electron_affinity_norm
1013,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__magmom
1014,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_0
1015,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_1
1016,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_2
1017,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_3
1018,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_4
1019,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_5
1020,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_6
1021,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_7
1022,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_8
1023,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_9
1024,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_10
1025,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_11
1026,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_12
1027,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_13
1028,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_14
1029,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_15
1030,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_16
1031,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_17
1032,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_18
1033,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_19
1034,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_20
1035,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_21
1036,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_22
1037,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_23
1038,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_24
1039,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_25
1040,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_26
1041,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_27
1042,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_28
1043,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_29
1044,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_30
1045,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__OFM_component_31
1046,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__atomic_mass_norm
1047,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__atomic_number_norm
1048,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__atomic_radius_norm
1049,species_block,"{'type': 'species_block', 'species': 'Cl'}",Cl__std__electron_affinity_norm
1050,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__count
1051,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__magmom
1052,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_0
1053,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_1
1054,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_2
1055,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_3
1056,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_4
1057,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_5
1058,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_6
1059,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_7
1060,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_8
1061,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_9
1062,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_10
1063,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_11
1064,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_12
1065,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_13
1066,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_14
1067,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_15
1068,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_16
1069,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_17
1070,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_18
1071,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_19
1072,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_20
1073,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_21
1074,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_22
1075,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_23
1076,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_24
1077,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_25
1078,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_26
1079,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_27
1080,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_28
1081,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_29
1082,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_30
1083,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__OFM_component_31
1084,species_block,"{'type': 'species_block', 'species': 'Co'}",Co__mean__atomic_mass_norm
